,Charging Power (kW)
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.45157902234038977
1103,0.6021053631205197
1104,0.8429475083687274
1105,0.9700586405830594
1106,1.0737545642315933
1107,1.1339651005436453
1108,1.1440001899289873
1109,0.9031580446807795
1110,0.7526317039006495
1111,0.5418948268084677
1112,0.4214737541843637
1113,0.3010526815602598
1114,0.21073687709218186
1115,0.12042107262410393
1116,0.07827369720566754
1117,0.06021053631205196
1118,0.01806316089361559
1119,0.01505263407801299
1120,0.006021053631205197
1121,0.0030105268156025984
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.45157902234038977
1151,0.6021053631205197
1152,0.8429475083687274
1153,0.9700586405830594
1154,1.0737545642315933
1155,1.1339651005436453
1156,1.1440001899289873
1157,0.9031580446807795
1158,0.7526317039006495
1159,0.5418948268084677
1160,0.4214737541843637
1161,0.3010526815602598
1162,0.21073687709218186
1163,0.12042107262410393
1164,0.07827369720566754
1165,0.06021053631205196
1166,0.01806316089361559
1167,0.01505263407801299
1168,0.006021053631205197
1169,0.0030105268156025984
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.45157902234038977
1199,0.6021053631205197
1200,0.8429475083687274
1201,0.9700586405830594
1202,1.0737545642315933
1203,1.1339651005436453
1204,1.1440001899289873
1205,0.9031580446807795
1206,0.7526317039006495
1207,0.5418948268084677
1208,0.4214737541843637
1209,0.3010526815602598
1210,0.21073687709218186
1211,0.12042107262410393
1212,0.07827369720566754
1213,0.06021053631205196
1214,0.01806316089361559
1215,0.01505263407801299
1216,0.006021053631205197
1217,0.0030105268156025984
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.45157902234038977
1247,0.6021053631205197
1248,0.8429475083687274
1249,0.9700586405830594
1250,1.0737545642315933
1251,1.1339651005436453
1252,1.1440001899289873
1253,0.9031580446807795
1254,0.7526317039006495
1255,0.5418948268084677
1256,0.4214737541843637
1257,0.3010526815602598
1258,0.21073687709218186
1259,0.12042107262410393
1260,0.07827369720566754
1261,0.06021053631205196
1262,0.01806316089361559
1263,0.01505263407801299
1264,0.006021053631205197
1265,0.0030105268156025984
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.45157902234038977
1295,0.6021053631205197
1296,0.8429475083687274
1297,0.9700586405830594
1298,1.0737545642315933
1299,1.1339651005436453
1300,1.1440001899289873
1301,0.9031580446807795
1302,0.7526317039006495
1303,0.5418948268084677
1304,0.4214737541843637
1305,0.3010526815602598
1306,0.21073687709218186
1307,0.12042107262410393
1308,0.07827369720566754
1309,0.06021053631205196
1310,0.01806316089361559
1311,0.01505263407801299
1312,0.006021053631205197
1313,0.0030105268156025984
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
